Bewertung_ID,Klinik_ID,Name_Klinik,Bewertung_Datum,Sternebewertung,Textuelle_Bewertung,Likes
11,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 4 Monaten,4,"Ich traf hier nur auf nettes Personal, vom Schüler bis zum Arzt. Aufmerksam, einfühlsam, gut aufgehoben.
Ich lese so viel schlechte Kritik für das Klinikum. Leute, seid froh das uns geholfen werden kann, das ist ein Krankenhaus und kein Hotel.!
Zu der angeblichen Unhöflichkeit des Personals sage ich nur...wie man es in den Wald ruft, so schallt es heraus;) ich komme gerne wieder. Vielen Dank",5
12,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einer Woche,2,"Personal super freundlich und sind immer bemüht!!! Die Ausführung der OP war mehr recht als schlecht!
Die Aussage nach der OP war unbefriedigend!!! Schade",0
13,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 6 Monaten,5,"Guten Abend, ich war letzte Woche in der Notaufnahme vorstellig ,Grund Verdacht auf eine Thrombose in der linken Wade.Der Ablauf war sehr gut, schnell und auch das Personal sehr nett. Die behandelnden Ärzte  ,waren sehr kompetent und freundlich und haben sich Zeit genommen.  Ich finde dieses ewige maulen vieler Leute unterirdisch nervig. Es werden Patienten nach DRINGLICHKEIT und nicht nach der Reihe behandelt. Es kommen in Abständen RTW oder sogar NAW ,die VIEL Zeit vom ganzen Team beanspruchen.  Es geht um Notfälle, die AKUT behandelt werden müssen. Da ist der Herr mit einem überdrehten Knie oder die Dame mit Ausschlag nunmal hinten dran vor Herzinfarkt, Schlaganfall und Co.  Ich finde, dieses ewige Gemecker ist nicht angebracht. Dieses Krankenhaus, ist mit seinem Platz und Personal immer bestrebt, Menschen in Notlagen zu helfen. Wer das nicht sieht,sollte mal genauer Betrachten ,was dort täglich geleistet wird.Ich schätze,mehr als die Hälfte der NOTFÄLLE (Husten,Schnupfen,Heiserkeit)müsste beim Hausarzt warten und nicht die Notaufnahme blockieren. Und ich bin mal ganz ehrlich, warum sollen die Angestellten dieses Krankenhauses, explizit so schlecht sein,das ist mehr als unlogisch.  Es sind ALLES Menschen, die auf das reagieren ,was man Ihnen entgegenbringt. Ich bin mehr als zufrieden und bin der Überzeugung, das dieses Krankenhaus ein guter Ort ist,um gesund zu werden.",5
14,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 4 Monaten,4,"Hallo ich war vom 19.10.2020 bis zum 24.10.2020 dort Stationär . Ich habe dort  im Krankenhaus ein neues Schultergelenk bekomme und muss sagen Top . OP ist sehr gut verlaufen ich konnte am Abend den Arm schon wieder leicht bewegen  Top . Hätte ich nicht gedacht.  Die Behandlung Top die Schwester sehr nett und das Essen war sehr gut 👍  es gab überhaupt nichts zu Beanstanden. Eventuell das das Parken was kosten deswegen auch nur vier von fünf Sternen 🌟.
Aber es gibt immer Menschen die was zu meckern haben und sich über Gott und die Welt aufregen.",2
15,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 4 Monaten,5,"Ich war jetzt das 2. Mal in diesem Klinikum und habe nur positive Erfahrungen gemacht. Mir wurde die Galle entfernt. Von der Aufnahme, über die OP bis zur Betreuung auf der Station war ich sehr zufrieden. Mir wurde meine Angst vor der Narkose genommen und alle waren sehr fürsorglich. Die Zweibettzimmer sind sauber und modern. Ich danke allen ganz herzlich und empfehle dieses Krankenhaus mit 5 Sternen.",1
16,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 6 Monaten,1,"Pfleger, Schwestern, etc. sind sehr freundlich.
Organisatorisch ist dieses Krankenhaus aber leider eine absolute Vollkatastrophe! Wartezeiten, die mal eben bis 10h dauern können!!!

Zu allem Überfluss, darf man sogar als Patient noch das Parkticket bezahlen! Leider ist das Parken aber nur auf dem Krankenhaus eigenen Parkplatz möglich.

Entlassung erfolgt kurz nach der Narkose ohne Arztgespräch und Hinweise zur Wundbehandlung und Medikamenteneinnahme. Nicht mal ein Ersatzpflaster für die frische Narbe gab es mit.

Zum Glück haben wir hier einen tollen  Hausarzt, der sich sofort kurzfristig einen Termin freigeschaufelt hat um die Wundversorgung zu gewährleisten.

Nie nie nie wieder...",1
17,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 4 Monaten,1,"Unfreundliche Ärzte und Schwestern, scheinen mit schwierigen Patienten überfordert zu sein. Information für Angehörige nicht nachvollziehbar. Hauptsache die Patienten schnell wieder los werden.Nach meinem (nicht vorhandenen Sachverstand aber Gefühl) viel zu früh. Wie die wiederholte  Einlieferung nach 10 Tagen ja deutlich zeigt. Aber wie gesagt,  nur gefühltes Empfinden.....",4
18,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 6 Monaten,5,"Ich habe in diesem Jahr mehrfach mehrere Tage im Agaplesion-Klinikum gelegen. Ich habe dort sehr positive Erfahrungen gemacht. Das gesamte Personal, egal ob Schwestern oder Ärzte, war super nett und freundlich. Die Untersuchungen, manchmal mit etwas längerer Wartezeit, wenn Notfälle dazwischen kamen, aber immer mit guter Aufklärung und zügiger Durchführung. Insgesamt war ich sehr positiv überrascht.",2
19,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 3 Monaten,5,"Ich kann das Klinikum Schaumburg nur weiterempfehlen. Ich bin am 11.11.2020 an der Schulter operiert worden. Das Krankenhaus ist sehr strukturiert, was die Voruntersuchung und auch die Abwicklung bei der OP betrifft. Ich habe mich auf der Station W22 sehr gut aufgehoben und versorgt gefühlt. Im gesamten Haus war das Personal sehr freundlich und hilfsbereit. Mein ganz besonderer Dank gilt Dr. Bartsch und seinem gesamten Team. Auch der Besuchsrecht für meinen Mann war gut organisiert",1
20,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 3 Wochen,3,"Das tolle Gebäude, die super
Ausstattung und größtenteils nettes Pflege-Personal machen aber noch kein akzeptabeles oder gar professionelles KKH aus.
Leider.
Das erlebte traue ich mir nicht hier wieder zu geben.
Es würde mir eh keiner glauben.
Die Klinikleitung will es nicht höhren
und wie überall werden Tatsachen modifiziert und am Ende ist man selber Schuld am Fehler eines anderen.
Ich war schon mehrmals dort, da ich keine andere Möglichkeit hatte.
Nochmal tue ich mir das nicht an.

Derzeit liege ich in einem anderen Krankenhaus weit weit weg von diesem und musste mit bedauern feststellen dass die vom IT system erstellten CDs mit Untersuchungsergebnissen wie Röntgen oder CT von anderen Krankenhäusern eingelesen werden können, die sind anscheinend proprietär . Das Krankenhaus hat offensichtlich nicht begriffen dass sie bereit von meiner Krankenversicherung bezahlt wurden.

Hier wird so richtig Geld verbrannt dass wir alle bezahlen müssen, leider habe ich weder die Kraft noch das Geld einen Anwalt zu bezahlen um das richtig stellen zu lassen.

Das Gesundheitssystem funktioniert im Lande eher nicht so gut
Herr Spahn.
Aber das scheint Sie in Ihrer Welt nicht zu tangieren. Die Realität der kleinen Leute prallt anscheinend einfach nur ab.
Naja. Lange Rede kurzer Sinn,
Es scheint ja für den Club der wohlhabenden Quereinsteiger in Berlin bestens zu funktionieren.
Die 5 Sterne gibt es für das totale Versagen des ausschließlich wirtschaftlich orientiertem  Gesundheitssystems.

Das KKH bekäme 2,5 Sterne.

Ich freue mich für alle für die es besser lief.

🙈 OMG",0
21,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 4 Monaten,5,"Habe dort Entbunden und noch nie so ein liebes und tolles Personal gehabt!
Hebamme, Helferin und Ärztin so lieb und toll. Einfach nur positiv begeistert!!! Nochmals vielen Dank ☺️",1
22,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Monat,1,"Das ist das zweite mal in der Notaufnahme und 2x schlechte Erfahrung. Kann von heute schildern, heute kurz vor 18h angekommen, hatte aufm weg zur Arbeit einen Autounfall, bin gegen Baum geprallt. Beschwerde:
Übelkeit, schwindel und Nacken- und Rückenschmerzen. Ich habe genau 3.5 Stunden gewartet und gewartet Und ich sollte weitere 45 Minuten warten. Habe meine Unterlagen genommen und bin ins andere KH und da wurde mir innerhalb 30 min geholfen. Ergebnis: Gehirnerschütterung. Also war für vehlen meine Aufnahme keine Notaufnahme.

Ich werde nie wieder, freiwillig, in dieses KH gehen.",0
23,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 5 Monaten,5,"Ich möchte mal ein Lob an das Klinikum aussprechen...leider wird ja oft nur das negative erwähnt.
Ich lag nach meiner Operation am Knie, durch das Gelenkzentrum Schaumburg, vom 21.- 26.09.2020
hier im Krankenhaus. Von der Aufnahme bis zur Entlassung war alles super.
Mein besonderer Dank geht an alle Mitarbeiter der Station W21 ich fühlte mich sehr gut aufgehoben so ein Rundum sorglos Paket eben.
Das Essen war richtig gut, was will man mehr...  LG",0
24,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Monat,3,"Ich war am Freitag zur OP Planung im klinikum. Mir sollte eine Zyste entfernt werden und freie Flüssigkeit. Ich wurde spontan auf genommen und am gleichen Tag noch operiert. Die Gynäkologin am Freitag war super einfühlsam, die Schwestern auf Station N21 waren sehr freundlich und hilfsbereit, der Patienten Transport war super angenehm und auch im OP Bereich waren alle super nett, witzig und freundlich. Im großen und ganzen war ich sehr zufrieden. Das Essen war okay. Die Sauberkeit war super. Die Visite am Samstag war etwas mau. Ich hatte ein paar Fragen zu der OP die mir keiner beantworten konnte was ich persönlich schade fand. Wir haben den vorläufigen Bericht bekommen und selber gegoogelt was alles gemacht wurde.

Liebe Grüße",0
25,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Monat,5,"War vor einer Woche zur Schulterop auf der Station W 21 die Pflege war top ,nette  aufmerksame Schwestern, Pfleger sowie Physiotherapeuten.
0perateuer  ist super .",1
26,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 2 Monaten,1,Viel unfreundliches personal. Absprachen werden nicht eingehalten. Schlechte absprache unterm personal. Teilweise sehr unmotiviertes und ungeeignetes personal. Fehldiagnosen weitergabe an patienten.,0
27,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 7 Monaten,4,"War in der gynäkologischen Ambulanz.
Ein Eingriff,den man so nicht machen sollte. Haben ALLE toll zusammen gearbeitet. Geht mir SUPER . Dankeschön. Und....bleibt...GESUCHT.",0
28,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 3 Monaten,5,"Das Personal war sehr einfühlsam,und freundlich. Das gesamte Vorgehen war sehr transparent. Die Klinik ist sehr gut organisiert.",1
29,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 6 Monaten,1,"Man müsste diese Ärzte der Geburtsstation  verklagen! Es wird gepfuscht!!! Details werde ich aus Datenschutzgründen nicht nennen.
Den Stern hat nur das schöne Gebäude und die netten Hebammen verdient. Die Ärzte hingegen sollte man verklagen und ihnen die Lizenz zum praktizieren entziehen. Die haben den Beruf verfehlt!!!",1
30,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 3 Monaten,1,"Meine Bewertung bezieht sich auf die Geburtsstation.

Eine Selbstbestimmte Geburt wurde mir nicht gewährt. Ich musste(!) auf der linken Seite liegend die meiste Zeit der Austreibungsphase ertragen. Dabei hätte ich liebend gerne die Seite gewechselt. Ich wurden allerdings von der Ärztin und Hebamme förmlich festgehalten. Eine Begleitung die mich davor hätte bewahren können, hatte ich leider nicht dabei. Während ich meine Wehen verbrüllt habe, wurden mir Sachen im normalen Ton erzählt, sodass ich nichts verstanden habe. Schmerzmittel wurden mir nicht angeboten, obwohl ich dies im Geburtsplan notiert hatte. Ich möchte an dieser Stelle nochmal betonen, ich war alleine! Nach der Geburt wurde mir die Plazenta an der Nabelschnur quasi rausgerissen.
Als ich am nächsten Tag wie besprochen entlassen werden sollte, wurde mir zwischen 09:00 und 10:00 mitgeteilt. Wohlwissend habe ich meinem Mann gleich 10:00 mitgeteilt. Als um 12:30 immer noch keine Entlassung veranlasst wurde, habe ich darauf bestanden unverzüglich das Krankenhaus verlassen zu können. Ich wollte nur noch weg....

Diese Erfahrung ist nun einige Monate her. Es hat mich mehr als traumatisiert. Ich werde aus diesem Grunde wohl kein weiteres Kind bekommen....",2
31,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 6 Monaten,1,"Schlechtestes Krankenhaus in der Umgebung, größter Fehler 3 Standorte auf einen zu packen! Überfordertes Personal, aggressiver Security-Dienst, schlechte Betreuung der Patienten oder vergessen werden. Wer kann sollte woanders hin.",1
32,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 6 Monaten,4,Tolles Krankenhaus. Fast alle Schwestern und Pfleger sind sehr nett und motiviert. Ein Stern Abzug gebe ich für die lange Wartezeit vor der Operation. Ansonsten habe ich mich während des Aufenthalts sehr wohl gefühlt.,0
33,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 3 Monaten,4,"Erfahrungen Bereich Handchirurgie Ambulant.
Sehr nette Damen in der Leitstelle ( und die Damen haben richtig Action).
Die Ärzte Dr. Leute und Dr. Heinrichsmeier (der auch die Spiegelung durchgeführt hat) sehr nett haben sich viel Zeit genommen, auf jede Frage geantwortet und nie überheblich.
Die Anästhesie: Auch hier die MA sehr freundlich sehr hilfsbereit und auch hier wurde jede Frage beantwortet.
Die Spiegelung selber, (habe ich selber über Monitor verfolgen dürfen) war sehr entspannte Atmosphäre. Es wurde auch mal ein Witz gemacht.(vor dem Eingriff versteht sich). Dr. Heinrichsmeier hat jeden seiner Schritte erklärt hat mir immer wieder erklärt was er macht und was zu sehen ist. (Bin selber etwas bewandert was das Handgelenk und dessen Struktur betrifft). Auch die Betreuung nach OP war sehr gut.
Ich gehöre nicht zu den Menschen die schnell loben!!
Aber hier muss ich sagen SEHR SEHR gut.
Ich danke allen MA die da an meiner Seite waren.
Das einzige was nicht so toll war, war der Kollege der den Corvid Abstrich gemacht hat. Das Stäbchen im Rachen ging ja....aber das er den Nasen abstrich dann bis ""Hirn"" hoch geschoben hat (was er mir nicht vorher gesagt hat). Da sollte er in Zukunft mal drauf hinweisen.
Was mich betrifft.... meine Hand war schon oben..

Allen MA eine gesegnete Weihnachten und bleibt gesund

Beste Grüße aus Krainhagen",1
34,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 4 Monaten,5,"Ich kann über dieses Krankenhaus nur positives sagen! Ich war vom 26.-27.10.2020 wegen einer Meniskus OP auf der Station W21. Die Schwestern und Pfleger waren alle sehr hilfsbereit und super freundlich. Das Anästhesie-Team war sehr sehr gut! Es wurde einem alles erklärt und einem die Nervosität genommen! So stelle ich mir das einschlafen vor einer OP vor. Nach der OP ging es mit dem aufwachen genau so gut weiter. Das Team war ebenfalls super! Mit einem Lächeln begrüßt zu werden und viel lachen ging es zurück auf Station!
Großen Dank an das Team der Ärzte, Pfleger und der Station W21!

Dennoch habe ich nicht vor, all zu schnell wieder Gast in eurem Haus zu sein!

Bleibt gesund!",0
35,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 5 Monaten,2,"Röntgen ging flott, aber leider zu lange Wartezeiten und vermutlich auch zu wenig Ärzte.",0
36,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 5 Monaten,4,"Sehr freundliches Personal, gute Behandlung.
Punktabzug fürs Mittagessen. 🙄
Zimmer aber ok.",0
37,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 7 Monaten,5,"Sehr nettes Krankenhaus. Alle sind nett und hilfsbereit,  musste nicht mal eine Minute warten. Es hat mir sehr gefallen.. Empfehlenswert..",2
38,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 8 Monaten,5,"Ich war nun schon zweimal in dieser Klinik. Bei beiden unterschiedlichen Notsituationen wurde uns immer freundlich, kompetent und schnell geholfen. Ich bin froh das wir so ein Klinikum in der Nähe haben und nicht erst nach Hannover müssen. Nur EC Gerät in der Empfangshalle fehlt noch.",0
39,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 4 Monaten,5,"Ich war letztes Wochenende in der Notaufnahme wegen Blutungen im Magen Darm bereich. Dort wurde ich freundlich aufgenommen und in den warte bereich geleitet. Die Wartezeit war nicht übermäßig lange, wie es für Notaufnahmen halt üblich wäre. Nach der dortigen guten und aufklärenden Untersuchung musste ich auf einen Corona test warten. Dieser wurde schnell in Hektik, äußerst grob und sehr unangenehm durchgeführt (dieses ist bestimmt der momentan auftretenden Infektionsdichte zu Schulden). Ich wurde dann auf Station 32 gebracht und kann von dieser Station nichts negatives sagen. Die Schwestern waren sehr freundlich und hilfsbereit. Übers Wochenende gab es dann keine weiteren Untersuchungen aus Blutabnahme und die Vorbereitungen zur Spiegelung. Am Montag vor der Spiegelung ist dann aufgefallen, das es kein Aufklärungsgespräch gab. Dieses hat dann die sehr Freundliche Ärztin übernommen. Diese Ärztin und auch das Personal mit dem ich zu tun hatte ist äußerst Vorbildlich, Menschlich und zuverlässig. Die Ärztin hat sich mit meiner Rehaklinik in Verbindung gesetzt, so das es dort auch weiterhin zu keinen Komplikationen kommt. Montag nachmittag wurde ich entlassen und konnte die Reha wieder aufnehmen. Ich war dort gut aufgehoben. Ich kann es nur weiterempfehlen. Mein tiefster Dank geht der Station 32 mit allem Personal. Bitte macht weiter so.",1
40,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 5 Monaten,1,"3 Stunde wartet seit dann der Arzt kommt
Er gibt mir 2 Stück Paracetamol
Fertig
Er sagt mehr kann ich nicht",0
41,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 9 Monaten,5,"Super Krankenhaus. Alle die ich getroffen habe, waren super nett und freundlich. Ich habe nie länger als 5 Minuten gewartet. Und ich war insgesamt viermal dort. Ganz großes Lob auch an das Op-Team, mir wurde alles super erklärt, und es lief alles wie geplant. Danke",0
42,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 8 Monaten,5,"Sehr gute Notaufnahme, gute Einschätzung der Notfälle, musste sie auf suchen aufgrund einer Blinddarmentzündung. Zwar war die Ärtztin sich etwas unsicher dadurch das ich immer sehr viel Luft im Bauch habe und man wenig sehen kann. Hat sie mich lieber zu Beobachtungen da behalten, obwohl ich kassenpazient bin. Einfach nur super !!",1
43,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 7 Monaten,5,Ich kann nur sagen das alles zum Besten steht auch wenn mal Fehler passieren. Mitreden kann man nur wenn man selbst mal krank vor Ort war .,2
44,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Jahr,5,"Ich musste kürzlich die Notaufnahme des Klinikums in Anspruch nehmen. Selten habe ich mich in einer Notaufnahme so gut aufgehoben gefühlt wie hier. Um mein Anliegen wurde sich umgehend und professionell  gekümmert. Das gesamte Team hat trotz viel Arbeit ein solches Engagement und eine solche Arbeitsfreude ausgestrahlt, dass ich hier nur die vollen fünf Sterne vergeben kann.
Liebes Notaufnahme Team. Bitte weiter so und vielen Dank für Eure freundliche Hilfe.
Liebe Grüße
Björn Rinne",0
45,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 8 Monaten,5,Vielen Dank an das Team der Notaufnahme. Nach einem Sturz mit dem Laufrad ist mein Sohn am Samstag mit dem Rettungswagen dorthin gebracht worden. Ihm wurde schnell und kompetent geholfen so dass wir nach kürzester Zeit das Krankenhaus wieder verlassen konnten. Vielen Dank dafür!,0
46,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Jahr,1,"Es ist für mich immer noch nicht nachvollziehbar, warum das Klinikum hier gebaut wurde. Weit entfernt von unseren größeren Städten, so müssen viele Menschen weite Wege in Kauf nehmen. Das Klinikum ist voll auf Individualverkehr ausgelegt, das zeigt schon der riesige Parkplatz, der regelmäßig überfüllt ist. Mit der Wahl diese Standortes hat man in Kauf genommen, das sehr viel neuer Verkehr generiert wird. In Zeiten von Klimawandel und Artensterben ist dieser Standort Verkehrs- und Umweltpolitisch eine Fehlplanung. Das ist meine Meinung.",5
47,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 6 Monaten,1,"Ich habe mich unwohl gefühlt, wie in noch keinem Krankenhaus zuvor.
Angefangen mit der Notaufnahme, die dort irgendwie m.E. alle unfähig sind 🤦‍♀️ Blut abnehmen, hätte ich vielleicht selber erledigen sollen, dann hätte ich mir die zerstochenen Venen und das rumgesuche mit der Nadel unter der Haut erspart.
Die Türen der Notfallzimmer standen offen, so konnte man hören, was in den anderen Räumen los war.
Ältere Menschen wurden dort überhaupt nicht für voll genommen und das hat man denen auch zu 100% zu spüren gegeben, einige Kommentare der Krankenschwestern waren unterste Schublade.
Generell ist dieses Krankenhaus auch sehr dreckig, ich muss sagen das JWK in Minden ist dagegen steril.
Hier läuft einiges echt komisch ab.
Bin Privatpatient und hatte Chefarzt Behandlung, aber selbst da habe ich mich nicht wohl gefühlt.
Ich kam ohne Erfahrung, mit dieser Klinik dort hin und habe draußen, vor der Tür schon die Leute über die Klinik fluchen hören, nicht ein einziges mal kam mir etwas positives zu Ohren, im Gegenteil nur Negatives und Leute die sich extrem Beschweren (Leider war ich da schon stationär aufgenommen, sonst wäre ich direkt wieder abgehauen) habe aber dennoch gedacht, ich mache mir mein eigenes Bild... mein Fehler...
Ich kann nur für mich persönlich sagen, NIE WIEDER dieses Krankenhaus!",0
48,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 8 Monaten,1,"Ich suche auf diesem Wege die Frau, die mit meiner Mutter auf einen Zimmer gelegen hat. Zeitraum 10 bis 14.06.2020 auf der Station O22 Zimmer 39,wer was weiß möchte hier bitte ein Kommentar hinterlassen. Vielen Dank",0
49,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Jahr,1,"Eigentlich 0 Sterne, geht nur leider nicht. Ich war mit Beschwerden im Blinddarmbereich dort, als kurz vor Feierabend war - eigentlich kein Grund, sich dem Patienten nicht zu widmen, dort scheinbar schon-. Dann hat der Arzt anstatt mich fachgerecht zu behandeln meine Hände einzeln hochgekommen und meine Fingernägel begutachtet... Ich war vorher noch im Garten, habe mir aber die Hände gewaschen...
Der hat sich allerdings mehr meinem Fingernägeln gewidmet, als meinem Bauch. Ein Unding!!! Zum Schluss hat er mir eine einfache Salbe verschrieben. Die Behandlung ging insgesamt 2 Minuten...

Nie wieder dieses Krankenhaus!",2
50,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor einem Jahr,5,"Habe mich vor 1 Jahr hier am Meniskus operieren lassen..
Bin voll zufrieden..Vielen Dank an Dr.Thielke.Kann diese Klinik nur weiter empfehlen..Super..Dankeschön.Verstehe nicht warum hier die Meinungen soweit auseinander liegen..Ich war zufrieden.",1
51,16,AGAPLESION EV. KLINIKUM SCHAUMBURG,vor 8 Monaten,5,Meine Mutter war hier (urologie) weil in dem eigentlichen Krankenhaus wo sie operiert werden musste ein corona Fall gab.... Wir sind wirklich sehr froh das wir hier her gekommen sind... Sehr sauber und alle bemüht von Ärzten bis Krankenschwester! Vielen lieben Dank an die komplette Urologie.,1
